23Q7A 878 (0, -855998) 1
87Q98 155 (1, -3198260) 334
884JT 644 (1, -3209609) 335
88724 551 (1, -3214601) 336
88TJ6 767 (1, -3222739) 337
88J63 588 (1, -3224052) 338
88Q63 274 (1, -3226249) 339
88KQ7 955 (1, -3229512) 340
8T646 431 (1, -3269890) 341
8TQ3Q 252 (1, -3282981) 342
8TKT2 393 (1, -3286231) 343
8JJT3 775 (1, -3310411) 344
8JQQ2 383 (1, -3312933) 345
8Q478 409 (1, -3323151) 346
8Q867 574 (1, -3331757) 347
8QA2A 427 (1, -3344354) 348
8K4Q8 910 (1, -3352557) 349
8K68J 839 (1, -3356314) 350
8KK2Q 317 (1, -3370692) 351
8AA6Q 5 (1, -3402126) 352
93J79 100 (1, -3452787) 353
94247 146 (1, -3461042) 354
94359 140 (1, -3463434) 355
949J5 473 (1, -3477578) 356
95752 486 (1, -3500692) 357
98J77 371 (1, -3595566) 358
993KA 185 (1, -3607656) 359
997K6 329 (1, -3616340) 360
998K7 642 (1, -3618550) 361
9J866 565 (1, -3674476) 362
9JQTT 832 (1, -3683992) 363
9QJQA 725 (1, -3710746) 364
9K2K4 161 (1, -3719573) 365
9K69J 145 (1, -3727776) 366
9KKQJ 490 (1, -3743662) 367
9A2J9 191 (1, -3747861) 368
9A94K 193 (1, -3762109) 369
9ATJT 892 (1, -3765450) 370
9AQQ4 729 (1, -3769935) 371
9AA3J 183 (1, -3772899) 372
T3242 835 (1, -3803709) 373
T4246 566 (1, -3832322) 374
T436T 605 (1, -3834909) 375
T552K 251 (1, -3867227) 376
T588Q 70 (1, -3874819) 377
T5Q45 38 (1, -3882840) 378
T9388 902 (1, -3978026) 379
TT3J5 192 (1, -4007055) 380
TT794 539 (1, -4015492) 381
TTJ7Q 834 (1, -4024046) 382
TJA2J 509 (1, -4058340) 383
TQ7T2 206 (1, -4072757) 384
TQJ9Q 645 (1, -4081506) 385
TK47T 166 (1, -4094324) 386
TAT26 715 (1, -4135170) 387
J2858 636 (1, -4159870) 388
J2KT2 649 (1, -4171622) 389
J3655 924 (1, -4183998) 390
J3TT8 34 (1, -4193670) 391
J3J87 88 (1, -4195516) 392
J3A4A 124 (1, -4201522) 393
J43K4 851 (1, -4207307) 394
J4KK7 706 (1, -4229316) 395
J5835 817 (1, -4245176) 396
J5935 506 (1, -4247373) 397
J5993 860 (1, -4248361) 398
J5T88 789 (1, -4250454) 399
J6488 634 (1, -4265833) 400
J6AJ7 385 (1, -4288297) 401
J7K6J 511 (1, -4313868) 402
J8477 674 (1, -4322773) 403
J8478 489 (1, -4322786) 404
J8948 267 (1, -4333264) 405
J8959 375 (1, -4333446) 406
J89JT 129 (1, -4334473) 407
J9649 389 (1, -4355247) 408
J96J4 721 (1, -4356365) 409
J993T 745 (1, -4361682) 410
J9JA5 244 (1, -4367870) 411
JT575 603 (1, -4382066) 412
JT977 615 (1, -4390880) 413
JTJA6 744 (1, -4396444) 414
JJ374 450 (1, -4406220) 415
JQ4QT 534 (1, -4437901) 416
JQKKA 804 (1, -4457895) 417
JK94J 524 (1, -4476108) 418
JA228 782 (1, -4488913) 419
JATA9 128 (1, -4508530) 420
JAK66 28 (1, -4513730) 421
Q2962 468 (1, -4533451) 422
Q2Q39 895 (1, -4539626) 423
Q2AAT 280 (1, -4545892) 424
Q4757 856 (1, -4586075) 425
Q4A45 236 (1, -4601259) 426
Q55K3 527 (1, -4611542) 427
Q7A7J 218 (1, -4687527) 428
Q83JQ 334 (1, -4692610) 429
Q9925 630 (1, -4732741) 430
QT3J3 91 (1, -4749615) 431
QTJ77 355 (1, -4766567) 432
QTA6T 213 (1, -4773028) 433
QJ885 899 (1, -4788680) 434
QJTQ2 261 (1, -4793711) 435
QJKAA 568 (1, -4800796) 436
QQ4K3 253 (1, -4809272) 437
QAKQT 925 (1, -4886089) 438
QAKA8 367 (1, -4886401) 439
K22JQ 941 (1, -4890340) 440
K5953 452 (1, -4990271) 441
K6553 54 (1, -5010044) 442
K8T87 260 (1, -5078710) 443
K9928 65 (1, -5104073) 444
K9JKA 711 (1, -5110404) 445
KTQKJ 891 (1, -5141123) 446
KJ62K 288 (1, -5154669) 447
KJAK6 753 (1, -5174013) 448
KQ6T6 360 (1, -5184491) 449
KQ93Q 114 (1, -5189977) 450
KK7QJ 683 (1, -5215652) 451
KK985 42 (1, -5219292) 452
KKJ27 330 (1, -5222698) 453
KKA67 794 (1, -5229965) 454
KA4TK 650 (1, -5237310) 455
KATJT 659 (1, -5250622) 456
A22JK 248 (1, -5261646) 457
A2K92 123 (1, -5285332) 458
A3TKK 772 (1, -5308121) 459
A3J32 986 (1, -5308485) 460
A3KJA 503 (1, -5314387) 461
A58A2 481 (1, -5360875) 462
A5Q85 553 (1, -5368688) 463
A797T 663 (1, -5419115) 464
A8646 135 (1, -5440526) 465
A9TT5 560 (1, -5478876) 466
A9TKK 39 (1, -5479487) 467
ATT47 676 (1, -5506449) 468
ATJT8 771 (1, -5509673) 469
AJ2AK 413 (1, -5519202) 470
AJA73 796 (1, -5544253) 471
AQ449 921 (1, -5550415) 472
AQ4KA 422 (1, -5552001) 473
AKQQ5 827 (1, -5597852) 474
22959 426 (2, -820443) 475
22J9J 60 (2, -825539) 476
2332T 889 (2, -835328) 477
2424T 737 (2, -862030) 478
26926 512 (2, -934141) 479
27T7T 3 (2, -965796) 480
282Q8 428 (2, -977600) 481
28383 904 (2, -979056) 482
2T5T2 759 (2, -1040897) 483
2J626 732 (2, -1070355) 484
2AA2J 885 (2, -1173679) 485
32263 314 (2, -1176448) 486
32J32 199 (2, -1195701) 487
33299 652 (2, -1205594) 488
33484 401 (2, -1209754) 489
338QQ 530 (2, -1219322) 490
33KK5 308 (2, -1230385) 491
34394 963 (2, -1236287) 492
34J34 419 (2, -1252849) 493
36344 127 (2, -1292564) 494
37374 627 (2, -1321632) 495
37535 153 (2, -1325363) 496
37Q7Q 612 (2, -1341509) 497
3T7T7 806 (2, -1416649) 498
3J43J 507 (2, -1437488) 499
3K636 623 (2, -1498939) 500
3K8K8 903 (2, -1505049) 501
3A3AJ 583 (2, -1522833) 502
3A773 50 (2, -1530334) 503
45A5A 886 (2, -1659762) 504
48989 825 (2, -1734902) 505
4T2T2 186 (2, -1776892) 506
4JJ45 32 (2, -1824251) 507
4QTT4 138 (2, -1851616) 508
4A455 49 (2, -1894724) 509
4AA42 10 (2, -1916486) 510
4AA45 61 (2, -1916525) 511
52253 151 (2, -1918865) 512
52454 443 (2, -1923272) 513
52656 542 (2, -1927692) 514
53A3A 763 (2, -1973595) 515
544K5 76 (2, -1981759) 516
56856 92 (2, -2046330) 517
577TT 735 (2, -2073591) 518
58J85 141 (2, -2110537) 519
5T5TJ 221 (2, -2154893) 520
5J445 270 (2, -2180165) 521
5Q5QK 249 (2, -2212379) 522
5QQ25 132 (2, -2225964) 523
5K5K9 372 (2, -2241057) 524
5KKJ5 842 (2, -2258243) 525
62677 797 (2, -2299336) 526
66T9T 519 (2, -2422745) 527
66Q44 405 (2, -2426216) 528
67K67 952 (2, -2457351) 529
68585 598 (2, -2468648) 530
68J86 961 (2, -2481843) 531
6T464 36 (2, -2523222) 532
6T6TK 982 (2, -2528409) 533
6T6JT 915 (2, -2528539) 534
6J655 929 (2, -2556021) 535
6J9J6 505 (2, -2563639) 536
74A47 875 (2, -2744820) 537
779TT 920 (2, -2820571) 538
78876 8 (2, -2846376) 539
797A9 562 (2, -2873962) 540
7K7K3 316 (2, -2987959) 541
7AA7J 632 (2, -3030989) 542
7AA99 485 (2, -3031301) 543
822J8 893 (2, -3033823) 544
84486 178 (2, -3094806) 545
8448J 103 (2, -3094871) 546
84847 451 (2, -3102931) 547
84854 864 (2, -3103061) 548
887AA 699 (2, -3216759) 549
889J9 313 (2, -3220581) 550
88J7J 975 (2, -3224325) 551
88KJK 170 (2, -3229421) 552
8Q8Q7 62 (2, -3332771) 553
8QQ77 774 (2, -3340714) 554
8QQ83 992 (2, -3340831) 555
8QQJ8 792 (2, -3341403) 556
8KK87 670 (2, -3371641) 557
8AA38 689 (2, -3401567) 558
8AAQQ 809 (2, -3403140) 559
92J92 710 (2, -3424473) 560
9494J 105 (2, -3476473) 561
94QQ9 415 (2, -3484390) 562
96677 477 (2, -3527459) 563
9696J 264 (2, -3533933) 564
97279 95 (2, -3547258) 565
99533 521 (2, -3610217) 566
99JKJ 437 (2, -3625193) 567
9T94T 609 (2, -3647826) 568
9JQ9Q 578 (2, -3683849) 569
9K229 388 (2, -3717779) 570
9K6K9 448 (2, -3728426) 571
9AQAQ 594 (2, -3770377) 572
T3T3J 63 (2, -3821233) 573
T3T43 17 (2, -3821298) 574
T4JT4 677 (2, -3853083) 575
T633T 208 (2, -3891524) 576
T7ATA 620 (2, -3945487) 577
T828T 933 (2, -3947294) 578
TT244 364 (2, -4003662) 579
TT989 277 (2, -4019782) 580
TA5AT 292 (2, -4126265) 581
TAAJT 67 (2, -4145531) 582
J3993 719 (2, -4191239) 583
J3JAA 324 (2, -4196621) 584
J5353 546 (2, -4234503) 585
J5J95 695 (2, -4252781) 586
J9JQ9 475 (2, -4367584) 587
JTTKK 824 (2, -4394169) 588
JTJAA 826 (2, -4396548) 589
JTQQT 7 (2, -4398355) 590
JJ882 318 (2, -4417348) 591
JQKKJ 648 (2, -4457856) 592
JA4J4 130 (2, -4494776) 593
Q399Q 116 (2, -4562649) 594
Q3QJJ 470 (2, -4569565) 595
Q557Q 691 (2, -4610645) 596
Q5J5Q 761 (2, -4623489) 597
Q6Q99 800 (2, -4654884) 598
Q7TT7 68 (2, -4679194) 599
Q822Q 954 (2, -4688892) 600
QT5Q5 879 (2, -4754204) 601
QJ22Q 85 (2, -4774575) 602
QQ33J 117 (2, -4805489) 603
QQ433 520 (2, -4807582) 604
QQ668 870 (2, -4812548) 605
QQK4K 16 (2, -4827654) 606
QQKK3 818 (2, -4829045) 607
QQATT 965 (2, -4830826) 608
QK9K9 235 (2, -4848896) 609
K42K4 402 (2, -4947696) 610
K4334 2 (2, -4948203) 611
K4949 442 (2, -4961619) 612
K6464 381 (2, -5008029) 613
K7373 484 (2, -5034549) 614
K77KJ 276 (2, -5044455) 615
K9TTK 392 (2, -5107687) 616
K9K9J 204 (2, -5114083) 617
KJJ77 658 (2, -5166421) 618
KJAAK 110 (2, -5174273) 619
KQ66Q 590 (2, -5183893) 620
KQ66K 525 (2, -5183906) 621
KQQKA 500 (2, -5198284) 622
KAK99 591 (2, -5256862) 623
A22A6 269 (2, -5262062) 624
A22A9 974 (2, -5262101) 625
A4AT4 993 (2, -5344846) 626
A8TT8 914 (2, -5450354) 627
A9JAJ 599 (2, -5481827) 628
ATKTK 846 (2, -5514132) 629
AJJ99 621 (2, -5538078) 630
AJAQQ 531 (2, -5545215) 631
AKK77 256 (2, -5599230) 632
AA822 614 (2, -5615896) 633
AAQ7Q 989 (2, -5625659) 634
22279 104 (3, -805402) 635
222K6 861 (3, -806377) 636
22342 545 (3, -807001) 637
223J2 900 (3, -808184) 638
22J28 639 (3, -824317) 639
22Q2K 637 (3, -826579) 640
22A2J 799 (3, -830947) 641
24443 344 (3, -866333) 642
244J4 242 (3, -867529) 643
25522 923 (3, -896740) 644
26226 940 (3, -918762) 645
28J88 315 (3, -996697) 646
2922T 1000 (3, -1004497) 647
2TT4T 162 (3, -1050972) 648
2TQ22 987 (3, -1054924) 649
2K22K 377 (3, -1118780) 650
32323 259 (3, -1177969) 651
32522 684 (3, -1182350) 652
333TJ 214 (3, -1207986) 653
333J5 872 (3, -1208077) 654
33838 638 (3, -1217749) 655
33QQ3 471 (3, -1227993) 656
33AJ3 347 (3, -1232218) 657
34888 326 (3, -1247155) 658
35Q33 58 (3, -1283594) 659
36336 478 (3, -1292421) 660
3666J 845 (3, -1299584) 661
37335 577 (3, -1320969) 662
37888 657 (3, -1332838) 663
39339 911 (3, -1378143) 664
3J343 840 (3, -1435356) 665
3K777 532 (3, -1501825) 666
3KKKT 703 (3, -1516060) 667
3A373 278 (3, -1521546) 668
42442 901 (3, -1551784) 669
44343 999 (3, -1606722) 670
4447K 227 (3, -1609556) 671
44774 957 (3, -1616030) 672
44864 410 (3, -1618058) 673
44874 357 (3, -1618227) 674
44JK4 720 (3, -1625832) 675
4544A 680 (3, -1637623) 676
45666 19 (3, -1642251) 677
45J55 80 (3, -1653054) 678
46644 331 (3, -1670448) 679
47445 724 (3, -1694628) 680
477K7 26 (3, -1702766) 681
48844 323 (3, -1731964) 682
4944K 492 (3, -1751854) 683
4T244 589 (3, -1775904) 684
4J844 359 (3, -1817647) 685
4Q2QQ 548 (3, -1834482) 686
4K6KK 310 (3, -1872013) 687
4KJKK 271 (3, -1882998) 688
52224 55 (3, -1918371) 689
53339 762 (3, -1949363) 690
54455 570 (3, -1980407) 691
55258 766 (3, -2004613) 692
55353 926 (3, -2006745) 693
5535T 504 (3, -2006836) 694
55458 340 (3, -2009007) 695
55547 728 (3, -2011022) 696
5557Q 841 (3, -2011594) 697
55858 113 (3, -2017795) 698
56QQQ 149 (3, -2056379) 699
58J55 625 (3, -2110030) 700
58A55 311 (3, -2116621) 701
59855 906 (3, -2132000) 702
59997 787 (3, -2134899) 703
5TT55 990 (3, -2164955) 704
5J595 859 (3, -2183207) 705
5Q55A 749 (3, -2211209) 706
5KKJK 265 (3, -2258347) 707
5A55J 48 (3, -2268292) 708
63646 293 (3, -2327377) 709
64443 370 (3, -2351505) 710
6466J 849 (3, -2356341) 711
65686 298 (3, -2385175) 712
66363 52 (3, -2406768) 713
66464 522 (3, -2408978) 714
6664T 747 (3, -2413112) 715
66677 346 (3, -2413580) 716
66868 572 (3, -2417818) 717
66JJ6 210 (3, -2425228) 718
66Q6Q 131 (3, -2426658) 719
66A6A 312 (3, -2431078) 720
67J77 203 (3, -2453126) 721
68KKK 469 (3, -2487173) 722
69663 296 (3, -2499042) 723
69669 272 (3, -2499120) 724
69Q66 690 (3, -2512263) 725
69AAA 430 (3, -2518113) 726
6J866 717 (3, -2560597) 727
6Q566 460 (3, -2582567) 728
6KQKK 584 (3, -2627781) 729
6A888 404 (3, -2646644) 730
74A44 945 (3, -2744781) 731
75977 328 (3, -2762903) 732
75J77 518 (3, -2767297) 733
76677 373 (3, -2784873) 734
77276 382 (3, -2804633) 735
7772J 853 (3, -2814838) 736
77754 848 (3, -2815254) 737
777JQ 188 (3, -2816372) 738
77979 222 (3, -2820051) 739
77J73 617 (3, -2824367) 740
7T773 731 (3, -2901262) 741
7T776 712 (3, -2901301) 742
7T7J7 44 (3, -2901990) 743
7Q7Q7 537 (3, -2959281) 744
7AA77 881 (3, -3030937) 745
82898 883 (3, -3046667) 746
8333K 361 (3, -3063294) 747
84488 234 (3, -3094832) 748
84858 788 (3, -3103113) 749
87788 384 (3, -3187106) 750
884T8 526 (3, -3209414) 751
88558 46 (3, -3210766) 752
888T7 491 (3, -3218189) 753
888AA 790 (3, -3218956) 754
88989 418 (3, -3220074) 755
88K85 593 (3, -3228810) 756
8TT88 41 (3, -3279380) 757
8QQ88 660 (3, -3340896) 758
8KJ88 919 (3, -3367260) 759
92224 121 (3, -3403543) 760
93338 836 (3, -3434522) 761
9399J 953 (3, -3448757) 762
9499T 211 (3, -3477305) 763
96444 179 (3, -3522519) 764
97477 332 (3, -3551626) 765
97QQQ 337 (3, -3570112) 766
98998 912 (3, -3591523) 767
989T9 529 (3, -3591705) 768
99395 209 (3, -3606863) 769
99398 946 (3, -3606902) 770
99649 1 (3, -3612661) 771
99749 275 (3, -3614858) 772
998A9 561 (3, -3618745) 773
99933 433 (3, -3619005) 774
99977 701 (3, -3619733) 775
999JA 865 (3, -3620500) 776
999K2 21 (3, -3620682) 777
99J92 869 (3, -3624400) 778
9J959 493 (3, -3676543) 779
9J99T 705 (3, -3677232) 780
9AAJA 284 (3, -3774290) 781
9AAA2 343 (3, -3774641) 782
9AAA3 374 (3, -3774654) 783
T4A44 23 (3, -3858660) 784
